storeProvince,storeCity,storeArea,storeAreaCn,storeName,storeAddress,storeBrandManage,storeBusinessHours,storeContactName,storeContactPhone,storeIPaddress,storeId,location,storeNo,storePhone,storePrecision,storePublish,storeState,storeTimestamp,storeZip,useCard,hasBreakfast,storeAddtime
山西省,太原市,华北区,,太原星河湾,山西省太原市小店区龙城南街恒大未来城底商,,7:00-22:00,,,101.80.66.21,6127,"37.7719304,112.5465161",29926,17503515515,,1,1,1663493106,,1,1,2022/9/18 17:25
山西省,太原市,华北区,,太原万象城,太原市万柏林区长风商务区长兴路5号华润中心万象城5层L536,,,,,114.91.116.102,965,"37.8087253,112.5303235",24590,18234071032,,1,1,1541990324,,1,0,2018/11/12 10:38
山西省,太原市,华北区,,太原国际能源中心餐厅,山西省太原市万柏林区千峰街道迎泽西大街100号OEPC国际能源中心A座1幢1层商业1001号,,7:00-22:00,,,101.80.69.240,6054,"37.8572497,112.5179892",29567,0351-6282855,,1,1,1662380208,,1,1,2022/9/5 20:16
山西省,太原市,华北区,,太原万科蓝山餐厅,太原市和平南路205号-1号万科蓝山N-1#1021号,,10:00-22:00,,,116.226.189.106,873,"37.8263562,112.5045835",24591,0351-8065808,,1,1,1516794503,,1,1,2018/1/24 19:48
山西省,太原市,华北区,,太原黎氏阁餐厅,太原市万柏林区金阳南路99号12号楼黎氏阁生活购物广场1层12-09.12-10,,10:00-22:00,,,116.226.189.106,913,"37.8512182,112.4880103",24779,0351-7739201,,1,1,1518329997,,1,0,2018/2/11 14:19
山西省,大同市,华北区,,大同万达,山西省大同市南环东路和永和路交汇处万达广场一楼1002商铺汉堡王餐厅,,10:00-22:00,李志芳,15333625867,183.131.109.162,1248,"40.0830703,113.3395803",27381,15333625867,,1,1,1570692467,,1,0,2019/10/10 15:27
山西省,大同市,华北区,,大同星茂汇,大同市平城区永泰南路星茂汇1层汉堡王餐厅,,7:30-22:00,,,116.233.193.214,6037,"40.0714718,113.3018817",28666,13028042915,,1,1,1632816768,,1,1,2021/9/28 16:12
山西省,忻州市,华北区,,忻州古城,山西省忻州市忻府区忻州古城南北大街88号,,11:00-21:00,,,101.80.66.21,6130,"38.3998669,112.7441369",29887,17735070001,,1,1,1663493375,,1,0,2022/9/18 17:29
山西省,晋中市,华北区,,晋中汇通风情,山西省晋中市榆次区定阳路汇通风情商业广场3号楼109号商铺,,11:00-20:00,,,116.233.51.78,5888,"37.7325583,112.7285045",27487,0354-3998002,,1,1,1630553650,,1,0,2021/9/2 11:34
山西省,临汾市,华北区,,安达圣购物中心,山西省临汾市尧都区财神楼北街31号汉堡王餐厅,,7:00-23:00,,,116.233.193.214,6027,"36.0854403,111.5223687",28270,0357-8600002,,1,1,1632813050,,1,1,2021/9/28 15:10
山西省,临汾市,华北区,,临汾时光颂,山西省临汾市尧都区向阳西路与中大街交汇处时光颂商场1层118号汉堡王餐厅（&nbsp;&nbsp;兴业银行隔壁）,,10:00-23:00,,,116.233.193.214,6008,"36.0982689,111.5064029",27147,0357-8600006,,1,1,1632810480,,1,0,2021/9/28 14:28
山西省,运城市,华北区,,运城大商联生活广场,山西省运城市盐湖区学苑北路学院花都5号楼一层4-5号门面房汉堡王,,10:00-22:30,,,116.233.51.78,5955,"35.0537181,111.008952",29432,0359-3987888,,1,1,1631003720,,1,0,2021/9/7 16:35
内蒙古自治区,呼和浩特市,华北区,,巨海邻里荟--HHHT-Lin Li H,呼和浩特市赛罕区巨海城八区巨海邻里荟商场一层汉堡王,,10:00-21:00,,,101.81.78.224,842,"40.8110799,111.74211",24780,15661206853,,1,1,1513849115,,1,1,2017/12/21 17:38
内蒙古自治区,呼和浩特市,华北区,,呼市振华广场餐厅,内蒙古自治区呼和浩特市回民区乌兰恰特东街振华广场负一层汉堡王,,10:00-21:00,,,116.233.51.78,5918,"40.8182054,111.6677369",27625,0417-3240425,,1,1,1630915464,,1,0,2021/9/6 16:04
内蒙古自治区,呼和浩特市,华北区,,内蒙古亚辰,内蒙古呼和浩特市玉泉区公园西路与大学西街交汇处西北角亚辰七彩城一层F1010商铺,,10:00-20:00,,,101.85.196.9,316,"40.8126709,111.6570586",22034,0471-5221912 ,,1,1,1463899364,,1,0,2016/5/22 14:42
